Specification,Surprise_coef,Surprise_x_NFA_coef,Triple_coef,Triple_se,Triple_pval,N,R2
(1) Baseline,-0.5977704357735799,-0.004783523226505982,,,,2103,0.001401346214403132
(2) STMT+Post2008,-0.3937405500208854,-0.015214284146698629,0.02224579973513885,0.015601401894896574,0.15405111753761314,2103,0.007044162599457171
(3) MP1+Post2008,0.14920796666177424,-0.015959762656220504,0.001737237715925262,0.02629150389057193,0.9473236348172331,2103,0.010282104636186729
