Specification,Surprise_coef,Surprise_se,Interaction_coef,Interaction_se,NFA_coef,NFA_se,N,R2
(1) Date Cluster,0.5977704357735799,0.6175609038104759,0.004783523226505982,0.006729876795728684,-0.000420672975469698,0.00038879396925259243,2103,0.001401346214403132
(2) Two-Way,0.5977704357735799,0.4953052461462278,0.004783523226505982,0.003635379328457817,-0.000420672975469698,0.00018020972014295888,2103,0.001401346214403132
(3) Country Cluster,0.5977704357735799,0.21602623044335253,0.004783523226505982,0.005052436964269029,-0.000420672975469698,8.672073072237114e-05,2103,0.001401346214403132
(4) MP1 Date Cluster,-0.021598602587941825,0.4489263495747715,0.016249211109582655,0.009108649803273179,-0.0003349366779743212,0.00038831700369704614,2103,0.005864428700594004
