Model,beta_STMT,se_STMT,pval_STMT,beta_STMT_lead,se_STMT_lead,pval_STMT_lead,R2,N,wald_stat,wald_pval
Contemporaneous Only,0.489515149585374,0.7068760683436057,0.4887088910274351,,,,0.0006575439519672654,1824,,
Lead Only (Placebo),,,,1.75910787549865,1.5311751241222018,0.250764547550947,0.008848056061845577,1824,,
Both,0.36005652823865864,0.68281008480061,0.5980388054141543,1.7332996821458702,1.5095240525078346,0.2510198612368493,0.009201892550778301,1824,0.9336210209599364,0.3339237693497714
