currency,beta,se,tstat,pval,N,R2
EUR,0.0026604935908104426,0.0035160872076442553,0.756663141069515,0.45003630035242614,229.0,0.0010937362251176586
GBP,0.0019557310502656684,0.004672226425604484,0.41858653072718743,0.6758535823882859,270.0,0.00048224626409276716
JPY,0.011723820107897331,0.00634666855857064,1.8472400125677435,0.06581447596095624,270.0,0.015173184411638951
CHF,0.00968523677441487,0.005591412420866305,1.73216283210858,0.08439512752920497,270.0,0.011348424642049104
AUD,-0.009873343768320447,0.01374733767819282,-0.71820042537999,0.47325934243789125,270.0,0.004493989705630752
CAD,-0.0010399365768763392,0.005647014240651617,-0.18415688938591013,0.8540296441904123,270.0,0.00014919961095349876
MXN,-0.03401625559691806,0.031714823055215564,-1.0725664632495566,0.2844305288286184,270.0,0.02933958624238875
NOK,0.004119874885822801,0.004647440868553827,0.8864824754843644,0.3761523686973447,270.0,0.001355579665357265
