percentile,NFA_GDP,marginal_effect,response_10bp,ci_lower,ci_upper
10,-50.41349855537032,-0.2666340946648062,-0.02666340946648062,-0.20089170144339952,0.14756488251043828
25,-28.960100699173847,-0.36925692159739565,-0.036925692159739565,-0.19089127948438633,0.1170398951649072
50,-6.255453508022316,-0.47786512878589277,-0.04778651287858928,-0.18347684219106322,0.08790381643388466
75,57.340757068874616,-0.7820790791982447,-0.07820790791982447,-0.19281105063639045,0.036395234796741484
90,101.98509038242696,-0.995636284535497,-0.09956362845354971,-0.23311720495697666,0.03398994804987726
