currency,beta,se,tstat,pval,N,R2
EUR,0.00559943704557824,0.008141155524438155,0.6877938922515147,0.4922847660475833,229,0.0018493578873213234
GBP,0.0024860852640561826,0.008045565141361762,0.3090007004325115,0.7575610746816965,270,0.00026986474922774395
JPY,0.0161614980097801,0.010395339811410845,1.5546868407360586,0.12120075436456856,270,0.009985393424137068
CHF,0.015275226071284889,0.010705867635655498,1.4268087922562493,0.15479898371646494,270,0.009775835761248741
AUD,-0.0004499358411802732,0.017151372716579533,-0.02623322626213694,0.9790908370962621,270,3.2319768854538466e-06
CAD,0.00813230086274837,0.011878015653516746,0.684651468727491,0.49415554001423345,270,0.0031596892214272865
MXN,-0.008063685647549154,0.01773487243065644,-0.4546796532694701,0.6497077894634464,270,0.0005709678582849209
NOK,0.005120902312824238,0.010738530665273345,0.4768717874396355,0.6338420277477974,270,0.0007252929958077026
